date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:38	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Apr%202023%2022:26:59%20GMT	https://roenshcapital.com/robots.txt		(from )
11:24:40	68724/68724	---MC-	200	added ('OK')	text/html	date:Sat,%2015%20Apr%202023%2022:27:00%20GMT	https://roenshcapital.com/	C:/My%20Web%20Sites/nexuscapital/roenshcapital.com/index.html	(from )
11:24:40	132804/132804	---M--	200	added ('OK')	application/javascript	date:Sat,%2016%20Apr%202022%2015:46:06%20GMT	https://roenshcapital.com/js/vendors/uikit.min.js	C:/My%20Web%20Sites/nexuscapital/roenshcapital.com/js/vendors/uikit.min.js	(from https://roenshcapital.com/)
11:24:43	242514/242514	---M--	200	added ('OK')	text/css	date:Sat,%2016%20Apr%202022%2015:46:04%20GMT	https://roenshcapital.com/css/vendors/uikit.min.css	C:/My%20Web%20Sites/nexuscapital/roenshcapital.com/css/vendors/uikit.min.css	(from https://roenshcapital.com/)
11:24:43	136004/136004	---M--	200	added ('OK')	text/css	date:Sat,%2016%20Apr%202022%2013:13:02%20GMT	https://roenshcapital.com/css/style1.css	C:/My%20Web%20Sites/nexuscapital/roenshcapital.com/css/style1.css	(from https://roenshcapital.com/)
11:24:44	76612/76612	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Apr%202022%2015:46:04%20GMT	https://roenshcapital.com/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/nexuscapital/roenshcapital.com/fonts/fa-brands-400.woff2	(from https://roenshcapital.com/)
11:24:44	79444/79444	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Apr%202022%2015:46:04%20GMT	https://roenshcapital.com/fonts/fa-solid-900.woff2	C:/My%20Web%20Sites/nexuscapital/roenshcapital.com/fonts/fa-solid-900.woff2	(from https://roenshcapital.com/)
11:24:44	16904/16904	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Apr%202022%2015:46:06%20GMT	https://roenshcapital.com/fonts/inter-v2-latin-regular.woff2	C:/My%20Web%20Sites/nexuscapital/roenshcapital.com/fonts/inter-v2-latin-regular.woff2	(from https://roenshcapital.com/)
11:24:45	17728/17728	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Apr%202022%2015:46:04%20GMT	https://roenshcapital.com/fonts/inter-v2-latin-500.woff2	C:/My%20Web%20Sites/nexuscapital/roenshcapital.com/fonts/inter-v2-latin-500.woff2	(from https://roenshcapital.com/)
11:24:45	17924/17924	---M--	200	added ('OK')	font/woff2	date:Sat,%2016%20Apr%202022%2015:46:04%20GMT	https://roenshcapital.com/fonts/inter-v2-latin-700.woff2	C:/My%20Web%20Sites/nexuscapital/roenshcapital.com/fonts/inter-v2-latin-700.woff2	(from https://roenshcapital.com/)
